cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
-256.3804572871479,256.3804572871479,,,,2021-02-22,2021-03-01,,32.59618463547653,,-223.7842726516714,,,28.100700302124025,BAC,btc_call
26.461849893000533,,,,,2021-02-22,2021-03-27,26.461849893000533,,,,,,33.11229721069336,BAC,write_cc
-40.1141914635521,40.1141914635521,,,,2021-03-17,2021-03-23,,21.667784430409263,,-18.44640703314284,,,9.0,F,btc_call
25.31960657253225,,,,,2021-03-17,2021-04-19,25.31960657253225,,,,,,10.0,F,write_cc
-9.563780024171642,9.563780024171642,,,,2021-03-24,2021-03-27,,26.461849893000533,,16.89806986882889,,,33.11229721069336,BAC,btc_call
33.03036022621511,,,,,2021-03-24,2021-04-26,33.03036022621511,,,,,,34.933491210937504,BAC,write_cc
-7.241421608994836,7.241421608994836,,,,2021-03-29,2021-04-19,,25.31960657253225,,18.078184963537417,,,10.0,F,btc_call
21.866081897158818,,,,,2021-03-29,2021-05-01,21.866081897158818,,,,,,9.622831764221193,F,write_cc
-7.957723751131551,7.957723751131551,,,,2021-04-13,2021-05-01,,21.866081897158818,,13.908358146027266,,,9.622831764221193,F,btc_call
15.15726919081195,,,,,2021-04-13,2021-05-16,15.15726919081195,,,,,,9.662429924011231,F,write_cc
-4.772695273654959,4.772695273654959,,,,2021-04-20,2021-04-26,,33.03036022621511,,28.257664952560148,,,34.933491210937504,BAC,btc_call
-2.3643718623665544,2.3643718623665544,,,,2021-04-20,2021-05-16,,15.15726919081195,,12.792897328445395,,,9.662429924011231,F,btc_call
24.226401182434554,,,,,2021-04-20,2021-05-23,24.226401182434554,,,,,,36.0506071472168,BAC,write_cc
22.432083936066284,,,,,2021-04-29,2021-06-01,22.432083936066284,,,,,,8.917949295043947,F,write_cc
-144.84702956831939,144.84702956831939,,,,2021-05-17,2021-05-23,,24.226401182434554,,-120.62062838588483,,,36.0506071472168,BAC,btc_call
17.38967252672987,,,,,2021-05-18,2021-06-20,17.38967252672987,,,,,,17.402347869873047,T,write_cc
15.052415309166722,,,,,2021-05-18,2021-06-20,15.052415309166722,,,,,,39.91316528320313,BAC,write_cc
-5.315290489491398,5.315290489491398,,,,2021-05-20,2021-06-20,,15.052415309166722,,9.737124819675325,,,39.91316528320313,BAC,btc_call
-55.909016218183716,55.909016218183716,,,,2021-05-25,2021-06-01,,22.432083936066284,,-33.47693228211743,,,8.917949295043947,F,btc_call
28.472283586102918,,,,,2021-05-25,2021-06-27,28.472283586102918,,,,,,10.145553016662598,F,write_cc
-4.856742249976187,4.856742249976187,,,,2021-06-01,2021-06-20,,17.38967252672987,,12.532930276753685,,,17.402347869873047,T,btc_call
-76.10437538319665,76.10437538319665,,,,2021-06-21,2021-06-27,,28.472283586102918,,-47.632091797093736,,,10.145553016662598,F,btc_call
38.312663743378735,,,,,2021-06-21,2021-07-24,38.312663743378735,,,,,,11.705797348022461,F,write_cc
19.76743239572576,,,,,2021-06-21,2021-07-24,19.76743239572576,,,,,,37.79001342773438,BAC,write_cc
-11.763639664869041,11.763639664869041,,,,2021-06-30,2021-07-24,,38.312663743378735,,26.549024078509696,,,11.705797348022461,F,btc_call
15.549409996369912,,,,,2021-06-30,2021-08-02,15.549409996369912,,,,,,11.769159965515138,F,write_cc
-5.585808577714668,5.585808577714668,,,,2021-07-02,2021-08-02,,15.549409996369912,,9.963601418655244,,,11.769159965515138,F,btc_call
-3.107802023707884,3.107802023707884,,,,2021-07-08,2021-07-24,,19.76743239572576,,16.659630372017876,,,37.79001342773438,BAC,btc_call
27.34913661915792,,,,,2021-07-08,2021-08-10,27.34913661915792,,,,,,36.86784576416016,BAC,write_cc
-4.432351069620699,4.432351069620699,,,,2021-07-19,2021-08-10,,27.34913661915792,,22.916785549537224,,,36.86784576416016,BAC,btc_call
32.82825375598595,,,,,2021-07-19,2021-08-21,32.82825375598595,,,,,,35.10907608032227,BAC,write_cc
15.75323381033904,,,,,2021-07-30,2021-09-01,15.75323381033904,,,,,,11.048434524536134,F,write_cc
-5.237423787115425,5.237423787115425,,,,2021-08-13,2021-09-01,,15.75323381033904,,10.515810023223615,,,11.048434524536134,F,btc_call
17.71077695382659,,,,,2021-08-13,2021-09-15,17.71077695382659,,,,,,10.763315620422365,F,write_cc
-128.5005677499015,128.5005677499015,,,,2021-08-16,2021-08-21,,32.82825375598595,,-95.67231399391557,,,35.10907608032227,BAC,btc_call
18.356991065593586,,,,,2021-08-16,2021-09-18,18.356991065593586,,,,,,39.25408447265625,BAC,write_cc
-6.830068756225427,6.830068756225427,,,,2021-08-17,2021-09-15,,17.71077695382659,,10.880708197601162,,,10.763315620422365,F,btc_call
16.827034779312022,,,,,2021-08-17,2021-09-19,16.827034779312022,,,,,,10.288114013671876,F,write_cc
-6.717486906910208,6.717486906910208,,,,2021-08-18,2021-09-18,,18.356991065593586,,11.639504158683378,,,39.25408447265625,BAC,btc_call
-5.700369212258272,5.700369212258272,,,,2021-08-20,2021-09-19,,16.827034779312022,,11.12666556705375,,,10.288114013671876,F,btc_call
16.410310642560866,,,,,2021-09-20,2021-10-23,16.410310642560866,,,,,,37.372109985351564,BAC,write_cc
15.049882974410256,,,,,2021-09-23,2021-10-26,15.049882974410256,,,,,,10.858358001708986,F,write_cc
-357.7609347720703,357.7609347720703,,,,2021-10-18,2021-10-23,,16.410310642560866,,-341.3506241295094,,,37.372109985351564,BAC,btc_call
42.186778988172335,,,,,2021-10-18,2021-11-20,42.186778988172335,,,,,,44.22349594116211,BAC,write_cc
-48.91844693369052,48.91844693369052,,,,2021-10-19,2021-10-26,,15.049882974410256,,-33.868563959280266,,,10.858358001708986,F,btc_call
15.094349300101761,,,,,2021-10-27,2021-11-29,15.094349300101761,,,,,,12.283958702087403,F,write_cc
-15.283701937408978,15.283701937408978,,,,2021-11-04,2021-11-20,,42.186778988172335,,26.903077050763358,,,44.22349594116211,BAC,btc_call
23.01880653931576,,,,,2021-11-04,2021-12-07,23.01880653931576,,,,,,45.22683334350586,BAC,write_cc
-3.9461846611640983,3.9461846611640983,,,,2021-11-12,2021-12-07,,23.01880653931576,,19.072621878151665,,,45.22683334350586,BAC,btc_call
21.498745225881066,,,,,2021-11-26,2021-12-29,21.498745225881066,,,,,,43.72660629272461,BAC,write_cc
1228.3958702087402,,,,6.641078472137451,2021-11-29,,,,12.283958702087403,564.2880229949951,,100,,F,sell_lot
,,,,,2021-11-29,2021-11-29,,,,,,,12.283958702087403,F,assign_call
27.913220186602096,,,,,2021-11-29,2022-01-01,27.913220186602096,,,,,,15.657135658264162,F,write_cc
-7.445627455540782,7.445627455540782,,,,2021-11-30,2021-12-29,,21.498745225881066,,14.053117770340284,,,43.72660629272461,BAC,btc_call
22.20197064647529,,,,,2021-11-30,2022-01-02,22.20197064647529,,,,,,42.49393203735352,BAC,write_cc
36.621106243604814,,1350.0,,,2021-11-30,2021-12-29,36.621106243604814,,,,,,13.5,F,write_csp
-13.577373997208753,13.577373997208753,,,,2021-12-07,2021-12-29,,36.621106243604814,,23.04373224639606,,,13.5,F,btc_put
