cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
-5.476729005139225,5.476729005139225,,,,2021-07-15,2021-08-08,,17.15606556400835,,11.679336558869126,,,11.0,F,btc_call
20.307965848721476,,,,,2021-07-19,2021-08-21,20.307965848721476,,,,,,10.030858945846559,F,write_cc
20.307965848721476,,,,,2021-07-19,2021-08-21,20.307965848721476,,,,,,10.030858945846559,F,write_cc
-1.767065570393389,1.767065570393389,,,,2021-08-17,2021-08-21,,20.307965848721476,,18.54090027832809,,,10.030858945846559,F,btc_call
-1.767065570393389,1.767065570393389,,,,2021-08-17,2021-08-21,,20.307965848721476,,18.54090027832809,,,10.030858945846559,F,btc_call
24.669332979184944,,,,,2021-08-17,2021-09-19,24.669332979184944,,,,,,10.0,F,write_cc
24.669332979184944,,,,,2021-08-17,2021-09-19,24.669332979184944,,,,,,10.0,F,write_cc
-7.595062708811318,7.595062708811318,,,,2021-09-02,2021-09-19,,24.669332979184944,,17.074270270373624,,,10.0,F,btc_call
-7.595062708811318,7.595062708811318,,,,2021-09-02,2021-09-19,,24.669332979184944,,17.074270270373624,,,10.0,F,btc_call
15.184911313438043,,,,,2021-09-02,2021-10-05,15.184911313438043,,,,,,10.0,F,write_cc
15.184911313438043,,,,,2021-09-02,2021-10-05,15.184911313438043,,,,,,10.0,F,write_cc
-5.159016854294918,5.159016854294918,,,,2021-09-10,2021-10-05,,15.184911313438043,,10.025894459143124,,,10.0,F,btc_call
-5.159016854294918,5.159016854294918,,,,2021-09-10,2021-10-05,,15.184911313438043,,10.025894459143124,,,10.0,F,btc_call
21.614072081619227,,,,,2021-09-15,2021-10-18,21.614072081619227,,,,,,10.0,F,write_cc
21.614072081619227,,,,,2021-09-15,2021-10-18,21.614072081619227,,,,,,10.0,F,write_cc
-107.0125837494615,107.0125837494615,,,,2021-10-11,2021-10-18,,21.614072081619227,,-85.39851166784227,,,10.0,F,btc_call
-107.0125837494615,107.0125837494615,,,,2021-10-11,2021-10-18,,21.614072081619227,,-85.39851166784227,,,10.0,F,btc_call
