date,always_on_equity,vix_gated_equity
2021-08-16,11025.385536193848,10806.54356765747
2021-08-17,11008.23885345459,10789.396884918213
2021-08-18,10941.361869812012,10722.519901275635
2021-08-19,10972.228492736816,10753.38652420044
2021-08-20,10953.365196228027,10734.52322769165
2021-08-23,10936.216987609863,10717.375019073486
2021-08-24,10899.350227355957,10680.50825881958
2021-08-25,10904.494346618652,10685.652378082275
2021-08-26,10859.052909851074,10640.210941314697
2021-08-27,10868.483222961426,10649.641254425049
2021-08-30,10913.925422668457,10695.08345413208
2021-08-31,10925.070823669434,10706.228855133057
2021-09-01,11006.25770187378,10738.81018447876
2021-09-02,11013.1169090271,10745.66939163208
2021-09-03,11009.687496185303,10742.239978790283
2021-09-06,6145.7028160095215,5878.255298614502
2021-09-07,10918.80424118042,10651.3567237854
2021-09-08,10983.10744857788,10715.659931182861
2021-09-09,10935.094524383545,10667.647006988525
2021-09-10,10913.659358978271,10646.211841583252
2021-09-13,10953.099895477295,10685.652378082275
2021-09-14,10956.555629730225,10689.108112335205
2021-09-15,10972.96912765503,10705.52161026001
2021-09-16,10927.184368133545,10659.736850738525
2021-09-17,10848.572612762451,10581.125095367432
2021-09-20,10815.745616912842,10594.998527526855
2021-09-21,10814.88235092163,10594.135261535645
2021-09-22,10821.79267501831,10601.045585632324
2021-09-23,10814.01794052124,10593.270851135254
2021-09-24,10801.059413909912,10580.312324523926
2021-09-27,10776.87194442749,10556.124855041504
2021-09-28,10693.076778411865,10472.329689025879
2021-09-29,10720.72074508667,10499.973655700684
2021-09-30,10678.392482757568,10457.645393371582
2021-10-01,10771.706554412842,10505.157447814941
2021-10-04,10769.11446762085,10548.341457366943
2021-10-05,10776.889583587646,10556.11657333374
2021-10-06,10831.311962127686,10610.53895187378
2021-10-07,10845.997402191162,10625.224391937256
2021-10-08,10866.730281829834,10645.957271575928
2021-10-11,10876.233074188232,10655.460063934326
2021-10-12,10876.233074188232,10655.460063934326
2021-10-13,10877.097484588623,10656.324474334717
2021-10-14,10909.060070037842,10688.287059783936
2021-10-15,10897.830364227295,10677.057353973389
2021-10-18,10851.18119430542,10630.408184051514
2021-10-19,10869.3219871521,10648.548976898193
2021-10-20,10910.78812789917,10690.015117645264
2021-10-21,10886.599514007568,10665.826503753662
2021-10-22,10895.238277435303,10674.465267181396
2021-10-25,10876.233074188232,10655.460063934326
2021-10-26,10896.965953826904,10676.192943572998
2021-10-27,10987.671443939209,10766.898433685303
2021-10-28,11032.59217453003,10811.819164276123
2021-10-29,11061.099788665771,10840.326778411865
2021-11-01,11092.345436096191,10823.049251556396
2021-11-02,11086.298377990723,10817.002193450928
2021-11-03,11102.712257385254,10833.416072845459
2021-11-04,11129.491813659668,10860.195629119873
2021-11-05,11150.225074768066,10880.928890228271
2021-11-08,11106.167991638184,10836.871807098389
2021-11-09,11119.99016571045,10850.693981170654
2021-11-10,11139.858253479004,10870.562068939209
2021-11-11,11141.585548400879,10872.289363861084
2021-11-12,11130.355461120605,10861.05927658081
2021-11-15,11131.220252990723,10861.924068450928
2021-11-16,11096.665580749512,10827.369396209717
2021-11-17,11069.886024475098,10800.589839935303
2021-11-18,11026.692207336426,10757.39602279663
2021-11-19,11002.503593444824,10733.20740890503
2021-11-22,11031.874855041504,10762.578670501709
2021-11-23,11067.294319152832,10797.998134613037
2021-11-24,11028.419883728027,10759.123699188232
2021-11-25,6240.028007507324,5970.731822967529
2021-11-26,10881.562812805176,10658.68197631836
2021-11-29,10954.991539001465,10732.110702514648
2021-11-30,10806.125267028809,10583.244430541992
2021-12-01,10838.597568511963,10615.716732025146
2021-12-02,10905.630573272705,10682.749736785889
2021-12-03,10946.547397613525,10723.666561126709
2021-12-06,11065.81505203247,10842.934215545654
2021-12-07,11091.931232452393,10869.050395965576
2021-12-08,11073.648914337158,10850.768077850342
2021-12-09,11061.461338043213,10838.580501556396
2021-12-10,11185.080799102783,10962.199962615967
2021-12-13,11313.9241065979,11091.043270111084
2021-12-14,11317.40654373169,11094.525707244873
2021-12-15,11340.041431427002,11117.160594940186
2021-12-16,11391.405185699463,11168.524349212646
2021-12-17,11311.312183380127,11088.43134689331
2021-12-20,11294.772800445557,11071.89196395874
2021-12-21,11314.795001983643,11091.914165496826
2021-12-22,11350.487979888916,11127.6071434021
2021-12-23,11353.970417022705,11131.089580535889
2021-12-24,6285.558399200439,6062.677562713623
2021-12-27,11391.405185699463,11168.524349212646
2021-12-28,11411.427387237549,11188.546550750732
2021-12-29,11417.521366119385,11194.640529632568
2021-12-30,11402.721866607666,11179.84103012085
2021-12-31,11440.15587234497,11217.275035858154
2022-01-03,11447.990497589111,11225.109661102295
2022-01-04,11534.17671585083,11311.295879364014
2022-01-05,11577.70470046997,11354.823863983154
2022-01-06,11549.847110748291,11326.966274261475
2022-01-07,11537.658390045166,11314.77755355835
2022-01-10,11546.363910675049,11323.483074188232
2022-01-11,11548.105701446533,11325.224864959717
2022-01-12,11555.941089630127,11333.06025314331
2022-01-13,11587.280353546143,11364.399517059326
2022-01-14,11629.938205718994,11407.057369232178
2022-01-17,6285.558399200439,6062.677562713623
2022-01-18,11587.280353546143,11364.399517059326
2022-01-19,11595.986637115479,11373.105800628662
2022-01-20,11574.222263336182,11351.341426849365
2022-01-21,11548.105701446533,11325.224864959717
2022-01-24,11505.448230743408,11282.567394256592
2022-01-25,11493.260272979736,11270.37943649292
2022-01-26,11474.107822418213,11251.226985931396
2022-01-27,11478.460010528564,11255.579174041748
2022-01-28,11582.057651519775,11359.176815032959
2022-01-31,11596.856769561768,11373.975933074951
2022-02-01,11610.402584075928,11387.521747589111
2022-02-02,11664.377498626709,11441.496662139893
