cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,shares,strike,ticker,type
-11.407531850613939,11.407531850613939,,,,2020-06-24,2020-07-20,,28.74310194166947,,17.33557009105553,,16.0,T,btc_call
26.717599255192948,,,,,2020-06-24,2020-07-27,26.717599255192948,,,,,15.5,T,write_cc
-56.14634647345662,56.14634647345662,,,,2020-06-26,2020-07-14,,145.09594055643564,,88.94959408297902,,21.5,BAC,btc_call
110.61498376780028,,,,,2020-06-26,2020-07-29,110.61498376780028,,,,,21.0,BAC,write_cc
,,,,,2020-07-06,2020-07-05,,,,20.66694338993864,,4.5,F,expire_call
23.07089043817998,,,,,2020-07-06,2020-08-08,23.07089043817998,,,,,4.902495460510254,F,write_cc
-500.0,,,500.0,,2020-07-09,2020-07-09,,,,,,5.0,F,assign_put
-7.125796035202036,7.125796035202036,,,,2020-07-09,2020-08-08,,23.07089043817998,,15.945094402977944,,4.902495460510254,F,btc_call
18.370400740448932,,,,,2020-07-09,2020-08-11,18.370400740448932,,,,,4.5,F,write_cc
-25.73717242831881,25.73717242831881,,,,2020-07-17,2020-07-29,,110.61498376780028,,84.87781133948147,,21.0,BAC,btc_call
63.07942169228831,,,,,2020-07-17,2020-08-19,63.07942169228831,,,,,21.0,BAC,write_cc
-6.537519241963485,6.537519241963485,,,,2020-07-20,2020-07-27,,26.717599255192948,,20.180080013229464,,15.5,T,btc_call
17.739840884979596,,,,,2020-07-21,2020-08-23,17.739840884979596,,,,,16.0,T,write_cc
-6.446369033549182,6.446369033549182,,,,2020-07-24,2020-08-23,,17.739840884979596,,11.293471851430414,,16.0,T,btc_call
-53.31637305179324,53.31637305179324,,,,2020-08-04,2020-08-11,,18.370400740448932,,-34.945972311344306,,4.5,F,btc_call
-201.33603594230146,201.33603594230146,,,,2020-08-12,2020-08-19,,63.07942169228831,,-138.25661425001317,,21.0,BAC,btc_call
39.87285472158382,,,,,2020-08-12,2020-09-14,39.87285472158382,,,,,24.0,BAC,write_cc
-11.796071698866228,11.796071698866228,,,,2020-08-17,2020-09-14,,39.87285472158382,,28.076783022717592,,24.0,BAC,btc_call
24.58282201455262,,,,,2020-08-17,2020-09-19,24.58282201455262,,,,,23.5,BAC,write_cc
-7.9638980641220325,7.9638980641220325,,,,2020-08-20,2020-09-19,,24.58282201455262,,16.618923950430585,,23.5,BAC,btc_call
27.875899604017107,,,,,2020-08-20,2020-09-22,27.875899604017107,,,,,22.5,BAC,write_cc
-10.556437336789415,10.556437336789415,,,,2020-09-17,2020-09-22,,27.875899604017107,,17.319462267227692,,22.5,BAC,btc_call
36.52723799658099,,,,,2020-09-17,2020-10-20,36.52723799658099,,,,,23.0,BAC,write_cc
-10.433470677891465,10.433470677891465,,,,2020-09-22,2020-10-20,,36.52723799658099,,26.09376731868953,,23.0,BAC,btc_call
31.91911916337915,,,,,2020-09-22,2020-10-25,31.91911916337915,,,,,22.0,BAC,write_cc
15.115390300585707,,,,,2020-10-08,2020-11-10,15.115390300585707,,,,,5.55171754360199,F,write_cc
-5.742647701985604,5.742647701985604,,,,2020-10-14,2020-10-25,,31.91911916337915,,26.176471461393547,,22.0,BAC,btc_call
40.45486074754487,,,,,2020-10-14,2020-11-16,40.45486074754487,,,,,21.5,BAC,write_cc
15.16117330819986,,,,,2020-10-22,2020-11-24,15.16117330819986,,,,,15.5,T,write_cc
-3.660969255283053,3.660969255283053,,,,2020-10-27,2020-11-24,,15.16117330819986,,11.500204052916807,,15.5,T,btc_call
